X;Radio.Region;Ile-de-France;Champagne-Ardenne;Picardie;Haute-Normandie;Centre;Nord-Pas-de-Calais;Lorraine;Alsace;Franche-Comte;Basse-Normandie;Pays-de-la-Loire;Bretagne;Limousin;Auvergne;Poitou-Charentes;Aquitaine;Midi-Pyrenees;Bourgogne;Rhone-Alpes;Languedoc-Roussillon;Provence-Alpes-Cote-d-Azur;Corse;Radio;Actualites_groupe;Actualites
1;France Inter;27,3;14,9;14;20,8;19;9,3;18,2;13,9;19,4;18,9;25,3;27,5;19,1;20,9;19;21,4;26,4;22,2;29;20,6;22,5;21,1;France Bleu;Actualites internationales;95,7
1;France Info;23,3;16,7;10,3;17,9;20,4;12,1;16,9;23,6;16,7;18,9;18,3;20,8;20,2;16,3;12,9;21,9;19,8;16,7;23,6;17,8;24;21,1;France Bleu;Actualites locales;81,8
;RTL;21;28,1;15;39,6;28,2;28,1;32,5;17,4;24,1;17,9;23,1;24,2;15,7;18,6;29,9;17,9;25,3;18,1;12;14,4;15,9;5,3;Virgin;Actualites internationales;94,7
;NRJ;16,3;26,3;23,4;20,8;17,6;33,1;30,5;31,2;19,4;21,7;19;21,7;31,5;28,7;30,6;24,4;28,6;26,4;23,4;23,9;21,1;26,3;Virgin;Actualites locales;78,8
;Nostalgie;15,8;22,8;20,6;17;22,2;17,4;24;29,9;17,6;21,7;24,9;14,5;27;23,3;23,1;18,4;19,8;25;20,9;19,4;20,2;21,1;Skryock;Actualites internationales;94,8
;RFM;15,8;19,3;6,5;4,7;10,2;18,5;16,9;13,9;15,7;20,8;17,2;15;27;18,6;22,4;21,9;29,7;13,2;13,2;18,3;18,5;10,5;Skryock;Actualites locales;78,5
;Europe 1 ;15,8;11,4;16,8;21,7;16,7;17,4;14,3;17,4;13,9;13,2;15,4;17,4;12,4;21,7;15,6;11,9;9,9;15,3;12;9,4;12,1;21,1;NRJ;Actualites internationales;94,6
;RMC;15,4;15,8;11,2;12,3;15,3;11,4;13;4,2;5,6;9,4;12,8;15,9;13,5;17,1;19,7;23,4;23,6;16,7;13,2;19,4;19,9;10,5;NRJ;Actualites locales;77,8
;RTL2;15,1;14,9;21,5;19,8;22,7;20,6;23,4;11,8;21,3;7,5;20,1;18,8;18;19,4;21,1;19,9;28;11,1;12,5;18,9;18,8;15,8;Fun Radio;Actualites internationales;94
;Fance Culture;13,3;5,3;7,5;9,4;8,8;5,7;4,5;9;6,5;5,7;11;11,6;9;11,6;6,8;11,9;10,4;9,7;10,7;5,6;10,4;0;Fun Radio;Actualites locales;75,9
;Cherie FM;11,9;14;15;17,9;11,6;11,4;13,6;4,2;22,2;3,8;13,6;10,1;20,2;10,9;8,2;12,4;16,5;17,4;15;20;11,6;31,6;RTL2;Actualites internationales;95,4
;Rires et Chansons;11,7;17,5;10,3;12,3;13;5,7;6,5;0,7;2,8;3,8;9,9;9,2;14,6;10,1;12,9;9;13,7;6,9;11,8;15,6;16,2;5,3;RTL2;Actualites locales;75,4
;Virgin;10,4;10,5;17,8;7,5;9,3;17,8;17,5;19,4;12;11,3;18,3;17,4;15,7;14,7;8,8;15,9;13,2;14,6;15;6,7;12,7;15,8;M Radio;Actualites internationales;96
;France Musique;10,2;6,1;5,6;12,3;7,9;6;7,1;10,4;13;7,5;13,2;11,6;12,4;7,8;8,8;13,4;12,6;11,1;12,7;8,3;13;21,1;M Radio;Actualites locales;75,1
;Skryock;9,6;12,3;18,7;10,4;13,4;20,3;11,7;13,2;11,1;12,3;10,3;11,6;13,5;10,9;15;13,9;13,2;16,7;7;11,1;11,6;10,5;RFM;Actualites internationales;96,5
;Fun Radio;8,2;14,9;18,7;14,2;19;10;13,6;11,1;15,7;10,4;15,8;15;19,1;14,7;19,7;14,4;22,5;14,6;17,2;17,2;15,9;10,5;RFM;Actualites locales;72,4
;Radio Classique;7,6;3,5;5,6;5,7;6;1,8;1,3;0;2,8;0;4;7,2;5,6;4,7;4,8;5,5;3,8;4,9;4,3;3,9;8,7;0;Cherie FM;Actualites internationales;96,3
;France Bleu;6,2;9,6;15;20,8;23,6;16;16,2;24,3;35,2;34,9;17,6;15,5;33,7;17,1;17;24,4;6;16,7;16,8;13,9;17,9;31,6;Cherie FM;Actualites locales;72,3
;M Radio;5,6;5,3;2,8;5,7;5,6;2,5;7,1;2,8;4,6;7,5;13,6;13;7,9;9,3;7,5;6,5;9,9;8,3;7,3;7,2;10,1;5,3;Rires et Chansons;Actualites internationales;96,9
;;;;;;;;;;;;;;;;;;;;;;;;Rires et Chansons;Actualites locales;70,4
;;;;;;;;;;;;;;;;;;;;;;;;Nostalgie;Actualites internationales;95
;;;;;;;;;;;;;;;;;;;;;;;;Nostalgie;Actualites locales;69,8
;;;;;;;;;;;;;;;;;;;;;;;;RTL;Actualites internationales;96,7
;;;;;;;;;;;;;;;;;;;;;;;;RTL;Actualites locales;68
;;;;;;;;;;;;;;;;;;;;;;;;RMC;Actualites internationales;96
;;;;;;;;;;;;;;;;;;;;;;;;RMC;Actualites locales;67,2
;;;;;;;;;;;;;;;;;;;;;;;;Europe 1 ;Actualites internationales;95,6
;;;;;;;;;;;;;;;;;;;;;;;;Europe 1 ;Actualites locales;66,5
;;;;;;;;;;;;;;;;;;;;;;;;France Info;Actualites internationales;95,4
;;;;;;;;;;;;;;;;;;;;;;;;France Info;Actualites locales;64,2
;;;;;;;;;;;;;;;;;;;;;;;;France Inter;Actualites internationales;96,1
;;;;;;;;;;;;;;;;;;;;;;;;France Inter;Actualites locales;63,1
;;;;;;;;;;;;;;;;;;;;;;;;Fance Culture;Actualites internationales;95,9
;;;;;;;;;;;;;;;;;;;;;;;;Fance Culture;Actualites locales;61,1
;;;;;;;;;;;;;;;;;;;;;;;;France Musique;Actualites internationales;95,5
;;;;;;;;;;;;;;;;;;;;;;;;France Musique;Actualites locales;58,2
;;;;;;;;;;;;;;;;;;;;;;;;Radio Classique;Actualites internationales;94,2
;;;;;;;;;;;;;;;;;;;;;;;;Radio Classique;Actualites locales;50,9
