Radio;Groupe_ecoute_internet;Ecoute_internet;Age_X;Age_Y;Abonne_Youtube
France Bleu;Oui au cours du dernier mois;28,8;13-25ans;32,4;30000
France Bleu;Oui il y longtemps;26,4;25-35ans;39,2;
France Bleu;Jamais;44,8;35-50ans;34,1;
RFM;Oui au cours du dernier mois;28,9;50-60ans;23,5;31000
RFM;Oui il y longtemps;28,9;60ans et plus;18,5;
RFM;Jamais;42,2;;;
Nostalgie;Oui au cours du dernier mois;29,2;;;400
Nostalgie;Oui il y longtemps;28,6;;;
Nostalgie;Jamais;42,1;;;
Cherie FM;Oui au cours du dernier mois;30;;;1771
Cherie FM;Oui il y longtemps;28,7;;;
Cherie FM;Jamais;41,4;;;
Rires et chansons;Oui au cours du dernier mois;30,1;;;41000
Rires et chansons;Oui il y longtemps;31,5;;;
Rires et chansons;Jamais;38,4;;;
M Radio;Oui au cours du dernier mois;30,3;;;2760
M Radio;Oui il y longtemps;30,3;;;
M Radio;Jamais;39,4;;;
NRJ;Oui au cours du dernier mois;30,6;;;257000
NRJ;Oui il y longtemps;32;;;
NRJ;Jamais;37,4;;;
Skyrock;Oui au cours du dernier mois;33;;;4800000
Skyrock;Oui il y longtemps;32;;;
Skyrock;Jamais;35,1;;;
Virgin;Oui au cours du dernier mois;33,2;;;37000
Virgin;Oui il y longtemps;34,8;;;
Virgin;Jamais;32,1;;;
RTL;Oui au cours du dernier mois;33,4;;;457000
RTL;Oui il y longtemps;25,8;;;
RTL;Jamais;40,8;;;
RTL2;Oui au cours du dernier mois;33,9;;;48000
RTL2;Oui il y longtemps;33,5;;;
RTL2;Jamais;32,7;;;
Radio Classique;Oui au cours du dernier mois;35,6;;;5800
Radio Classique;Oui il y longtemps;26,4;;;
Radio Classique;Jamais;38;;;
Fun radio;Oui au cours du dernier mois;36,7;;;101000
Fun radio;Oui il y longtemps;31,6;;;
Fun radio;Jamais;31,7;;;
Europe 1 ;Oui au cours du dernier mois;36,9;;;674000
Europe 1 ;Oui il y longtemps;27,9;;;
Europe 1 ;Jamais;35,2;;;
RMC;Oui au cours du dernier mois;37,5;;;673000
RMC;Oui il y longtemps;29;;;
RMC;Jamais;33,5;;;
France Info;Oui au cours du dernier mois;39,3;;;287000
France Info;Oui il y longtemps;27,8;;;
France Info;Jamais;32,9;;;
France Musique;Oui au cours du dernier mois;39,5;;;185000
France Musique;Oui il y longtemps;25,1;;;
France Musique;Jamais;35,4;;;
France Culture;Oui au cours du dernier mois;46,4;;;209000
France Culture;Oui il y longtemps;25,3;;;
France Culture;Jamais;28,3;;;
France Inter;Oui au cours du dernier mois;48,3;;;638000
France Inter;Oui il y longtemps;25,3;;;
France Inter;Jamais;26,3;;;
