Radio;Confiance;Age_X;Age_Y;CSP_X;CSP_Y;Modalite_X;Modalite_Groupe;Modalite_Y
Radio Classique;66,2;13-25ans;56,9;CSP-;60,5;Politique;Confiance;25,3
RTL2;65,7;25-35ans;58,9;CSP+;62,6;Politique;Pas ou peu confiance;13,5
France Bleu;63,6;35-50ans;64,7;Etudiants;58;Culture;Confiance;24,9
Virgin;63,5;50-60ans;60,3;Retraites et inactifs;55,7;Culture;Pas ou peu confiance;17,1
RMC;63,4;60ans et plus;56;;;Informations et actualites;Confiance;66,4
Skyrock;62,4;;;;;Informations et actualites;Pas ou peu confiance;46,2
Cherie FM;62,1;;;;;Actualites internationales;Confiance;95,9
Europe 1 ;62,1;;;;;Actualites internationales;Pas ou peu confiance;77,7
RTL;61,8;;;;;Actualites locales;Confiance;73,4
Fun Radio;61,7;;;;;Actualites locales;Pas ou peu confiance;58,7
M Radio;61,5;;;;;Conseils d'achats;Confiance;29,2
France Info;61,5;;;;;Conseils d'achats;Pas ou peu confiance;20,3
France Musique;61,4;;;;;;;
NRJ;61,4;;;;;;;
Rires et Chansons;61,1;;;;;;;
RFM;61;;;;;;;
France Culture;60,2;;;;;;;
Nostalgie;58,9;;;;;;;
France Inter;58,1;;;;;;;
